CITY,DISTRICT,GEOCODE,DAY,TIME,T,TD,RH,WD,WS,BF,AT,Wx,Wx_n,PoP6h,PoP12h,get_day
臺北市,南港區,6300900,2021-02-21,21:00:00,18,17,92,西南風,2,<= 1,19,晴,01,0,0,2021-02-20
臺北市,南港區,6300900,2021-02-22,00:00:00,18,17,94,偏南風,1,<= 1,18,晴,01,0,0,2021-02-20
臺北市,南港區,6300900,2021-02-22,03:00:00,17,16,94,偏南風,3,2,18,晴,01,0,0,2021-02-20
臺北市,南港區,6300900,2021-02-22,06:00:00,16,14,90,東南風,2,<= 1,15,晴,01,0,0,2021-02-20
臺北市,南港區,6300900,2021-02-22,09:00:00,19,13,69,偏北風,0,<= 1,19,晴,01,0,0,2021-02-20
臺北市,南港區,6300900,2021-02-22,12:00:00,26,13,44,偏北風,1,<= 1,27,晴,01,0,0,2021-02-20
臺北市,南港區,6300900,2021-02-22,15:00:00,25,16,56,東北風,3,2,27,晴,01,0,0,2021-02-20
臺北市,南港區,6300900,2021-02-22,18:00:00,22,18,78,偏東風,3,2,22,晴,01,0,40,2021-02-20
臺北市,南港區,6300900,2021-02-22,21:00:00,20,18,91,偏東風,3,2,21,晴,01,0,40,2021-02-20
臺北市,南港區,6300900,2021-02-23,00:00:00,19,18,94,偏東風,3,2,20,短暫雨,08,40,40,2021-02-20
臺北市,南港區,6300900,2021-02-23,03:00:00,18,18,96,偏東風,4,3,19,短暫雨,08,40,40,2021-02-20
臺北市,內湖區,6301000,2021-02-20,06:00:00,12,9,80,偏南風,2,<= 1,11,晴,01,0,0,2021-02-20
臺北市,內湖區,6301000,2021-02-20,09:00:00,16,9,65,偏東風,2,<= 1,15,晴,01,0,0,2021-02-20
臺北市,內湖區,6301000,2021-02-20,12:00:00,23,12,49,偏東風,1,<= 1,23,晴,01,0,0,2021-02-20
臺北市,內湖區,6301000,2021-02-20,15:00:00,23,12,50,東南風,3,2,24,晴,01,0,0,2021-02-20
臺北市,內湖區,6301000,2021-02-20,18:00:00,19,14,70,東南風,2,2,19,晴,01,0,0,2021-02-20
臺北市,內湖區,6301000,2021-02-20,21:00:00,18,14,82,東南風,3,2,18,晴,01,0,0,2021-02-20
臺北市,內湖區,6301000,2021-02-21,00:00:00,17,13,79,東南風,2,<= 1,16,晴,01,0,0,2021-02-20
臺北市,內湖區,6301000,2021-02-21,03:00:00,16,13,84,偏南風,1,<= 1,16,晴,01,0,0,2021-02-20
臺北市,內湖區,6301000,2021-02-21,06:00:00,15,13,88,偏北風,1,<= 1,15,晴,01,0,0,2021-02-20
