CITY,DISTRICT,GEOCODE,DAY,TIME,T,TD,RH,WD,WS,BF,AT,Wx,Wx_n,PoP6h,PoP12h,get_day
臺北市,大同區,63000060,2021-05-14,09:00:00,31,24,69,西北風,1,<= 1,36,晴,01,0,20,2021-05-13
臺北市,大同區,63000060,2021-05-14,12:00:00,33,25,60,偏北風,1,<= 1,38,多雲,04,20,20,2021-05-13
臺北市,大同區,63000060,2021-05-14,15:00:00,33,28,74,偏北風,2,<= 1,40,多雲,04,20,20,2021-05-13
臺北市,大同區,63000060,2021-05-14,18:00:00,31,26,74,偏北風,2,<= 1,36,晴,01,0,0,2021-05-13
臺北市,大同區,63000060,2021-05-14,21:00:00,29,27,89,偏北風,2,<= 1,35,晴,01,0,0,2021-05-13
臺北市,大同區,63000060,2021-05-15,00:00:00,29,27,93,偏北風,1,<= 1,34,晴,01,0,0,2021-05-13
臺北市,大同區,63000060,2021-05-15,03:00:00,28,27,93,西北風,1,<= 1,33,晴,01,0,0,2021-05-13
臺北市,大同區,63000060,2021-05-15,06:00:00,27,25,86,西北風,1,<= 1,32,晴,01,10,20,2021-05-13
臺北市,大同區,63000060,2021-05-15,09:00:00,31,22,61,西北風,1,<= 1,35,晴,01,10,20,2021-05-13
臺北市,大同區,63000060,2021-05-15,12:00:00,34,25,61,偏北風,1,<= 1,39,多雲,04,20,20,2021-05-13
臺北市,大同區,63000060,2021-05-15,15:00:00,33,28,76,偏北風,1,<= 1,40,晴,01,20,20,2021-05-13
臺北市,大同區,63000060,2021-05-15,18:00:00,31,27,78,偏北風,1,<= 1,37,晴,01,0,0,2021-05-13
臺北市,大同區,63000060,2021-05-15,21:00:00,30,27,88,偏北風,1,<= 1,36,晴,01,0,0,2021-05-13
臺北市,大同區,63000060,2021-05-16,00:00:00,29,28,93,偏北風,1,<= 1,35,多雲,04,0,0,2021-05-13
臺北市,大同區,63000060,2021-05-16,03:00:00,28,27,94,西北風,1,<= 1,34,多雲,04,0,0,2021-05-13
臺北市,萬華區,63000070,2021-05-13,06:00:00,27,24,84,西北風,1,<= 1,32,晴,01,0,20,2021-05-13
臺北市,萬華區,63000070,2021-05-13,09:00:00,32,23,59,偏西風,2,<= 1,36,晴,01,0,20,2021-05-13
臺北市,萬華區,63000070,2021-05-13,12:00:00,35,22,47,西北風,2,<= 1,40,多雲,04,20,20,2021-05-13
臺北市,萬華區,63000070,2021-05-13,15:00:00,35,25,56,東北風,3,2,40,晴,01,20,20,2021-05-13
臺北市,萬華區,63000070,2021-05-13,18:00:00,32,25,68,東北風,1,<= 1,36,晴,01,10,10,2021-05-13
臺北市,萬華區,63000070,2021-05-13,21:00:00,30,25,77,西北風,1,<= 1,35,晴,01,10,10,2021-05-13
臺北市,萬華區,63000070,2021-05-14,00:00:00,29,26,85,偏北風,1,<= 1,35,晴,01,0,10,2021-05-13
臺北市,萬華區,63000070,2021-05-14,03:00:00,28,25,86,偏北風,1,<= 1,33,晴,01,0,10,2021-05-13
臺北市,萬華區,63000070,2021-05-14,06:00:00,27,24,82,西北風,1,<= 1,32,晴,01,10,20,2021-05-13
臺北市,萬華區,63000070,2021-05-14,09:00:00,31,23,64,西北風,1,<= 1,36,晴,01,10,20,2021-05-13
臺北市,萬華區,63000070,2021-05-14,12:00:00,34,24,55,東北風,1,<= 1,39,多雲,04,20,20,2021-05-13
臺北市,萬華區,63000070,2021-05-14,15:00:00,34,26,66,東北風,1,<= 1,40,多雲,04,20,20,2021-05-13
臺北市,萬華區,63000070,2021-05-14,18:00:00,31,25,68,偏北風,2,<= 1,36,晴,01,0,0,2021-05-13
臺北市,萬華區,63000070,2021-05-14,21:00:00,30,26,83,偏北風,1,<= 1,35,晴,01,0,0,2021-05-13
臺北市,萬華區,63000070,2021-05-15,00:00:00,29,26,86,偏北風,1,<= 1,34,晴,01,0,0,2021-05-13
臺北市,萬華區,63000070,2021-05-15,03:00:00,28,25,87,西北風,1,<= 1,33,晴,01,0,0,2021-05-13
臺北市,萬華區,63000070,2021-05-15,06:00:00,27,24,81,偏北風,1,<= 1,31,晴,01,20,20,2021-05-13
臺北市,萬華區,63000070,2021-05-15,09:00:00,31,22,59,偏北風,1,<= 1,35,晴,01,20,20,2021-05-13
臺北市,萬華區,63000070,2021-05-15,12:00:00,34,24,56,偏北風,1,<= 1,40,多雲,04,20,20,2021-05-13
臺北市,萬華區,63000070,2021-05-15,15:00:00,34,27,67,偏北風,1,<= 1,40,晴,01,20,20,2021-05-13
